Designator,Mid X,Mid Y,Rotation,Layer
C201,15.5,-43.0,0.0,top
C202,15.475,-41.25,0.0,top
C203,7.825,-43.0,180.0,top
C204,7.825,-41.25,180.0,top
C301,-7.25,-44.5,90.0,top
C302,-13.75,-44.5,90.0,top
C303,-24.275,-44.25,180.0,top
C304,-24.275,-46.0375,180.0,top
C305,-19.5,-41.25,90.0,top
C401,-10.5,-33.75,0.0,top
C402,-10.5,-26.75,0.0,top
C404,10.75,-34.75,180.0,top
C405,5.5,-28.25,270.0,top
C406,9.75,-26.75,270.0,top
C501,-3.0,-25.5,0.0,top
C502,5.75,-20.5,270.0,top
C503,3.0,-25.5,180.0,top
C504,-2.5,-31.75,90.0,top
C505,4.5,-35.5,90.0,top
C601,-21.75,-21.75,90.0,top
C602,21.5,-21.525,90.0,top
C603,2.5,-3.0,0.0,top
D201,14.5,-39.0,0.0,top
D202,8.575,-39.0,180.0,top
D301,-8.75,-37.5,270.0,top
D302,-12.0,-41.53,0.0,top
D401,11.75,-27.0,270.0,top
D402,2.5,-27.75,0.0,top
D403,-2.5,-27.75,180.0,top
D501,5.0,-9.425,90.0,top
D502,5.0,-3.9625,90.0,top
D601,-25.75,-34.25,180.0,top
D602,-25.0,-21.75,180.0,top
D603,-22.2875,-34.25,0.0,top
D604,22.25,-34.0,180.0,top
D605,25.0,-21.5,0.0,top
D606,25.75,-34.0,0.0,top
D607,-1.5,-3.0,180.0,top
D608,-5.0,-9.4625,270.0,top
D609,-5.0,-3.9625,270.0,top
F201,14.5,-45.0,180.0,top
F202,8.5,-45.0,0.0,top
FB201,12.9,-42.2125,270.0,top
FB202,10.3,-42.25,270.0,top
FB301,-21.775,-45.25,270.0,top
IC301,-10.5,-44.5,0.0,top
IC302,-17.25,-41.25,180.0,top
IC401,-10.5,-30.25,270.0,top
IC501,0.0,-18.75,0.0,top
J201,22.4,-40.0,90.0,top
J301,-24.0,-39.245,0.0,top
J501,10.16,-12.7,0.0,bottom
J502,-10.16,-12.7,0.0,bottom
J503,0.0,0.0,270.0,bottom
J504,0.0,-43.25,0.0,top
J601,-24.13,-15.24,180.0,bottom
J602,24.13,-15.24,180.0,bottom
L401,16.25,-30.25,90.0,top
L402,-16.25,-30.25,90.0,top
Q301,-12.0,-37.5,0.0,top
Q302,-15.75,-38.0,270.0,top
Q303,-19.5,-38.0,90.0,top
R301,-9.0,-40.0,180.0,top
R302,-12.0,-40.0,0.0,top
R303,-9.0,-41.5,0.0,top
R304,-20.01,-43.0,0.0,top
R305,-17.25,-43.75,0.0,top
R401,-8.0,-30.25,90.0,top
R402,7.5,-26.75,270.0,top
R403,-8.0,-32.5,90.0,top
R404,7.5,-30.5,270.0,top
R405,3.0,-29.5,0.0,top
R406,-3.0,-29.5,180.0,top
R501,-1.5,-35.75,90.0,top
R502,1.5,-35.75,90.0,top
R503,4.75,-12.165,90.0,top
R504,4.75,-6.7125,90.0,top
R505,-4.5,-35.5,90.0,top
R601,-26.0,-32.75,0.0,top
R602,-21.75,-32.75,180.0,top
R603,21.75,-32.5,0.0,top
R604,26.25,-32.5,180.0,top
R605,-4.75,-12.19375,270.0,top
R606,-4.75,-6.7025,270.0,top
S601,-24.0,-28.1215,180.0,top
S602,24.0,-28.0,180.0,top
S603,0.0,-9.0,180.0,top
U401,10.75,-31.25,270.0,top
U501,0.0,-31.75,270.0,top
